Dataset,Run,Explainer,TP,TN,FP,FN,Torch Accuracy,Torch Recall,Torch Precision,Faithfulness,Accuracy,Precision,Recall,Torch F1,F1
25,29,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,30,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,31,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,32,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,33,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,34,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,35,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,36,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,37,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,38,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,39,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,40,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,41,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,42,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,43,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,44,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,45,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,46,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,47,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,48,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,49,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,50,beta,32,115,3,105,0.980000019,1,0.914285719,1,0.576470588,0.914285714,0.233576642,0.955223883,0.372093023
25,28,beta,31,116,2,106,0.980000019,0.96875,0.939393938,1,0.576470588,0.939393939,0.226277372,0.953846153,0.364705882
25,27,beta,31,115,3,106,0.973333359,0.96875,0.911764681,1,0.57254902,0.911764706,0.226277372,0.939393926,0.362573099
25,25,beta,30,116,2,107,0.973333359,0.9375,0.9375,1,0.57254902,0.9375,0.218978102,0.9375,0.355029586
25,26,beta,30,116,2,107,0.973333359,0.9375,0.9375,1,0.57254902,0.9375,0.218978102,0.9375,0.355029586
25,24,beta,29,116,2,108,0.966666639,0.90625,0.935483873,1,0.568627451,0.935483871,0.211678832,0.920634922,0.345238095
25,22,beta,27,117,1,110,0.959999979,0.84375,0.964285731,1,0.564705882,0.964285714,0.197080292,0.900000007,0.327272727
25,23,beta,27,117,1,110,0.959999979,0.84375,0.964285731,1,0.564705882,0.964285714,0.197080292,0.900000007,0.327272727
25,19,beta,24,117,1,113,0.939999998,0.75,0.959999979,1,0.552941176,0.96,0.175182482,0.842105255,0.296296296
25,21,beta,24,117,1,113,0.939999998,0.75,0.959999979,1,0.552941176,0.96,0.175182482,0.842105255,0.296296296
25,18,beta,23,117,1,114,0.933333337,0.71875,0.958333313,1,0.549019608,0.958333333,0.167883212,0.821428564,0.285714286
25,17,beta,22,117,1,115,0.926666677,0.6875,0.956521749,1,0.545098039,0.956521739,0.160583942,0.800000004,0.275
25,20,beta,22,117,1,115,0.926666677,0.6875,0.956521749,1,0.545098039,0.956521739,0.160583942,0.800000004,0.275
25,16,beta,21,117,1,116,0.920000017,0.65625,0.954545438,1,0.541176471,0.954545455,0.153284672,0.777777772,0.264150943
25,14,beta,20,117,1,117,0.913333356,0.625,0.952380955,1,0.537254902,0.952380952,0.145985401,0.754716982,0.253164557
25,15,beta,20,117,1,117,0.913333356,0.625,0.952380955,1,0.537254902,0.952380952,0.145985401,0.754716982,0.253164557
25,13,beta,14,118,0,123,0.879999995,0.4375,1,1,0.517647059,1,0.102189781,0.608695652,0.185430464
25,12,beta,13,117,1,124,0.866666675,0.40625,0.928571403,1,0.509803922,0.928571429,0.094890511,0.565217387,0.17218543
25,11,beta,5,118,0,132,0.819999993,0.15625,1,1,0.482352941,1,0.03649635,0.27027027,0.070422535
25,10,beta,4,118,0,133,0.813333333,0.125,1,1,0.478431373,1,0.02919708,0.222222222,0.056737589
25,9,beta,3,118,0,134,0.806666672,0.09375,1,1,0.474509804,1,0.02189781,0.171428571,0.042857143
25,8,beta,1,118,0,136,0.793333352,0.03125,1,1,0.466666667,1,0.00729927,0.060606061,0.014492754
25,1,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,2,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,3,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,4,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,5,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,6,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
25,7,beta,0,118,0,137,0.786666691,0,0,1,0.462745098,,0,#DIV/0!,#DIV/0!
